,Link,Name,Spots
72377,/camping/ackerman-campground/r/facilityDetails.do?contractCode=NRSO&parkId=72377,ACKERMAN CAMPGROUND,18
73494,/camping/acorn-campground/r/facilityDetails.do?contractCode=NRSO&parkId=73494,ACORN CAMPGROUND,122
70158,/camping/agnew-meadows-group-camp/r/facilityDetails.do?contractCode=NRSO&parkId=70158,AGNEW MEADOWS GROUP CAMP,0
70528,/camping/almanor/r/facilityDetails.do?contractCode=NRSO&parkId=70528,ALMANOR,0
72376,/camping/alpine-view-campground/r/facilityDetails.do?contractCode=NRSO&parkId=72376,ALPINE VIEW CAMPGROUND,21
70984,/camping/anacapa-island/r/facilityDetails.do?contractCode=NRSO&parkId=70984,ANACAPA ISLAND,7
120003,/camping/angel-island-sp/r/facilityDetails.do?contractCode=CA&parkId=120003,ANGEL ISLAND SP,0
110004,/camping/anthony-chabot/r/facilityDetails.do?contractCode=EB&parkId=110004,Anthony Chabot,23
71514,/camping/antlers/r/facilityDetails.do?contractCode=NRSO&parkId=71514,ANTLERS,45
120006,/camping/anzaborrego-desert-sp/r/facilityDetails.do?contractCode=CA&parkId=120006,ANZA-BORREGO DESERT SP,0
70160,/camping/arroyo-seco/r/facilityDetails.do?contractCode=NRSO&parkId=70160,ARROYO SECO,11
71938,/camping/aspen-group-inyo/r/facilityDetails.do?contractCode=NRSO&parkId=71938,ASPEN GROUP (INYO),0
71674,/camping/aspen-group-tahoe/r/facilityDetails.do?contractCode=NRSO&parkId=71674,ASPEN GROUP (TAHOE),0
71546,/camping/aspen-hollow-group/r/facilityDetails.do?contractCode=NRSO&parkId=71546,ASPEN HOLLOW GROUP,0
71586,/camping/badger-flats-group/r/facilityDetails.do?contractCode=NRSO&parkId=71586,BADGER FLATS GROUP,0
71521,/camping/bailey-cove/r/facilityDetails.do?contractCode=NRSO&parkId=71521,BAILEY COVE,5
75445,/camping/bandido-group-campground/r/facilityDetails.do?contractCode=NRSO&parkId=75445,BANDIDO GROUP CAMPGROUND,2
70181,/camping/barton-flats/r/facilityDetails.do?contractCode=NRSO&parkId=70181,BARTON FLATS,19
75010,/camping/bear-river-group-campground/r/facilityDetails.do?contractCode=NRSO&parkId=75010,BEAR RIVER GROUP CAMPGROUND,3
71587,/camping/belknap/r/facilityDetails.do?contractCode=NRSO&parkId=71587,BELKNAP,2
75426,/camping/berger/r/facilityDetails.do?contractCode=NRSO&parkId=75426,BERGER,4
120009,/camping/big-basin-redwoods-sp/r/facilityDetails.do?contractCode=CA&parkId=120009,BIG BASIN REDWOODS SP,1
75483,/camping/big-bend-group-yuba-river/r/facilityDetails.do?contractCode=NRSO&parkId=75483,BIG BEND GROUP (YUBA RIVER),1
71607,/camping/big-cove/r/facilityDetails.do?contractCode=NRSO&parkId=71607,BIG COVE,0
70551,/camping/big-meadow-stanislaus-natl-fs/r/facilityDetails.do?contractCode=NRSO&parkId=70551,BIG MEADOW STANISLAUS NATL FS,0
70518,/camping/big-pine-canyon/r/facilityDetails.do?contractCode=NRSO&parkId=70518,BIG PINE CANYON,0
70617,/camping/big-pine-creek-campground/r/facilityDetails.do?contractCode=NRSO&parkId=70617,BIG PINE CREEK CAMPGROUND,0
73627,/camping/big-silver-group/r/facilityDetails.do?contractCode=NRSO&parkId=73627,BIG SILVER GROUP,0
70519,/camping/bishop-park-group/r/facilityDetails.do?contractCode=NRSO&parkId=70519,BISHOP PARK GROUP,0
110452,/camping/black-diamond-mines-regional-preserve/r/facilityDetails.do?contractCode=EB&parkId=110452,Black Diamond Mines Regional Preserve,0
940023,/camping/black-jack-campground/r/facilityDetails.do?contractCode=CTLN&parkId=940023,BLACK JACK CAMPGROUND,7
70236,/camping/black-mountain-san-bernardino/r/facilityDetails.do?contractCode=NRSO&parkId=70236,BLACK MOUNTAIN (SAN BERNARDINO),0
72306,/camping/black-mountain-lookout/r/facilityDetails.do?contractCode=NRSO&parkId=72306,BLACK MOUNTAIN LOOKOUT,0
70237,/camping/black-oak/r/facilityDetails.do?contractCode=NRSO&parkId=70237,BLACK OAK,2
